hh,grp,first_day,last_day,n_days_any,n_days_full,dropped
MAC000067,Std,2011-12-09,2014-02-27,812,782.0,0
MAC000119,Std,2012-02-29,2014-02-27,730,702.0,0
MAC000172,Std,2011-11-25,2013-08-21,636,608.0,1
MAC000229,Std,2011-12-01,2014-02-27,820,785.0,0
MAC000239,Std,2011-12-02,2014-02-27,819,788.0,0
MAC000299,Std,2012-03-02,2014-02-27,692,668.0,0
MAC000390,Std,2012-03-13,2014-02-27,717,691.0,0
MAC000552,Std,2012-04-11,2014-02-27,686,654.0,0
MAC000580,Std,2012-04-11,2014-02-27,685,660.0,0
MAC000585,Std,2012-04-12,2014-02-27,684,657.0,0
MAC000621,Std,2012-04-12,2014-02-27,687,662.0,0
MAC000729,Std,2012-04-19,2013-09-13,513,491.0,1
MAC000983,Std,2012-05-02,2013-07-03,426,409.0,1
MAC001028,Std,2012-05-03,2013-11-23,569,549.0,1
MAC001149,Std,2012-05-09,2014-02-27,660,633.0,0
MAC001177,Std,2012-05-09,2014-02-27,645,620.0,0
MAC001224,Std,2012-05-14,2013-02-12,274,263.0,1
MAC001293,Std,2012-05-14,2014-02-27,654,628.0,0
MAC001321,Std,2012-05-16,2014-02-27,653,624.0,0
MAC001354,Std,2012-05-17,2014-02-27,652,626.0,0
MAC001476,Std,2012-05-21,2013-07-07,413,396.0,1
MAC001567,Std,2012-05-23,2014-02-27,645,618.0,0
MAC001638,Std,2012-05-28,2014-02-27,638,616.0,0
MAC001728,Std,2012-06-01,2014-02-27,636,612.0,0
MAC001768,Std,2012-06-06,2014-02-27,632,603.0,0
MAC001812,Std,2012-06-06,2014-02-27,632,604.0,0
MAC001935,Std,2012-06-11,2014-02-27,626,604.0,0
MAC002049,Std,2012-06-14,2014-02-27,624,599.0,0
MAC002082,Std,2012-06-15,2014-02-27,623,591.0,0
MAC002127,Std,2012-06-18,2014-02-27,618,595.0,0
MAC002428,Std,2012-04-30,2014-02-27,667,643.0,0
MAC002513,Std,2012-07-09,2014-02-27,599,577.0,0
