d,hhod,Std,ToU,signal,y,high,low
2013-03-20,1,0.19128793152728746,0.14195181814424523,normal,-0.298292096644458,0.0,0.0
2013-03-20,2,0.17236298358074126,0.1319063635926101,normal,-0.26751031862279184,0.0,0.0
2013-03-20,3,0.15649745149601146,0.12337363682338037,normal,-0.23782227683509305,0.0,0.0
2013-03-20,4,0.14901204805516818,0.11698454556351696,normal,-0.2419853252346711,0.0,0.0
2013-03-20,5,0.14172289153513307,0.11695363612199965,normal,-0.1920960991446412,0.0,0.0
2013-03-20,6,0.13543280827970589,0.11516181846900674,normal,-0.1621373810526523,0.0,0.0
2013-03-20,7,0.13346918449968884,0.11467363629807634,normal,-0.1517804749503715,0.0,0.0
2013-03-20,8,0.13444439297798974,0.11205999989792789,normal,-0.1821162372198848,0.0,0.0
2013-03-20,9,0.1365428638766812,0.11347454573345286,normal,-0.18506004130098885,0.0,0.0
2013-03-20,10,0.146084781177439,0.1222790911543945,normal,-0.1778810816685017,0.0,0.0
2013-03-20,11,0.16011721127910206,0.1342090908730064,normal,-0.17650715405662143,0.0,0.0
2013-03-20,12,0.18849339844096552,0.15889999957988038,normal,-0.1707879138427122,0.0,0.0
2013-03-20,13,0.2179835535921508,0.18932545399483802,normal,-0.14095210474272446,0.0,0.0
2013-03-20,14,0.25001644655299077,0.2221545453855387,normal,-0.11815341185308337,0.0,0.0
2013-03-20,15,0.26080240935486526,0.23542727240784603,normal,-0.10236102461993357,0.0,0.0
2013-03-20,16,0.25508524468812044,0.2481090912333986,normal,-0.027729248739580603,0.0,0.0
2013-03-20,17,0.2477523746868925,0.23906909133974377,normal,-0.0356771629188517,0.0,0.0
2013-03-20,18,0.23972712549789127,0.2245990910358854,normal,-0.06518430414015475,0.0,0.0
2013-03-20,19,0.23368172367247508,0.22843181846536356,normal,-0.02272225591334509,0.0,0.0
2013-03-20,20,0.22704818176217476,0.20662363600768996,normal,-0.09426329459182847,0.0,0.0
2013-03-20,21,0.22818624059823817,0.2064872727132487,normal,-0.09992336309567507,0.0,0.0
2013-03-20,22,0.2317868888987645,0.20074000016024166,normal,-0.14380782799419545,0.0,0.0
2013-03-20,23,0.23478156176777779,0.20502727266147056,normal,-0.13551254981328253,0.0,0.0
2013-03-20,24,0.24098934467745142,0.21976181806065143,normal,-0.09220840486672843,0.0,0.0
2013-03-20,25,0.23640236291648872,0.2084963634434495,normal,-0.125613681330085,0.0,0.0
2013-03-20,26,0.23263701639035256,0.21908454615813255,normal,-0.060021658423001556,0.0,0.0
